thres	recall	precision	correct	recognized	all
thres:1.180469	0.432208	0.420189	correct:3430.000000	recognized:8163.000000	all:7936.000000
thres:1.191200	0.426411	0.420007	correct:3384.000000	recognized:8057.000000	all:7936.000000
thres:1.201932	0.418599	0.421681	correct:3322.000000	recognized:7878.000000	all:7936.000000
thres:1.212663	0.412424	0.421507	correct:3273.000000	recognized:7765.000000	all:7936.000000
thres:1.223395	0.405242	0.421715	correct:3216.000000	recognized:7626.000000	all:7936.000000
thres:1.234126	0.399068	0.421480	correct:3167.000000	recognized:7514.000000	all:7936.000000
thres:1.244858	0.389995	0.422641	correct:3095.000000	recognized:7323.000000	all:7936.000000
thres:1.255590	0.382939	0.423968	correct:3039.000000	recognized:7168.000000	all:7936.000000
thres:1.266321	0.376890	0.424677	correct:2991.000000	recognized:7043.000000	all:7936.000000
thres:1.277053	0.373488	0.426046	correct:2964.000000	recognized:6957.000000	all:7936.000000
thres:1.287784	0.367188	0.427775	correct:2914.000000	recognized:6812.000000	all:7936.000000
thres:1.298516	0.360257	0.427738	correct:2859.000000	recognized:6684.000000	all:7936.000000
